Site,Date,Chl_mean,Dominant,Chl_min,Chl_max
LBS,2019-06-20,24.461275063915124,Cyanobacteria,13.295205023511809,39.957940498215486
LBS,2019-06-21,28.20706247527784,Cyanobacteria,15.493546255072246,45.33086780862361
LBS,2019-06-24,13.868946853181873,Cyanobacteria,7.4859075441469525,22.245308223293367
LBS,2019-06-25,12.891888889763209,Cyanobacteria,6.979155334401905,20.672453868819723
LBS,2019-06-27,12.027152874748323,Cyanobacteria,6.562506679270905,19.818470376449216
LBS,2019-06-28,6.105284917546202,Cyanobacteria,3.286144302274442,9.800895127429209
LBS,2019-07-01,6.5901718166325685,Cyanobacteria,3.587084174055584,10.549858026154988
LBS,2019-07-02,19.455590648169082,Cyanobacteria,10.619527931489184,31.204043317205937
LBS,2019-07-03,7.093830942954849,Cyanobacteria,3.801705029455722,11.400685068015367
LBS,2019-07-05,8.16957601390632,Cyanobacteria,4.497611685999478,13.027452651280084
LBS,2019-07-08,8.467025836174276,Cyanobacteria,4.6358458849424045,13.522805162917614
LBS,2019-07-09,15.274743723109054,Cyanobacteria,8.406930375947676,24.36249099462032
LBS,2019-07-10,6.091902435473261,Cyanobacteria,3.3659215618193334,9.71089781006583
LBS,2019-07-11,21.998107895779736,Cyanobacteria,12.087184791990861,35.40516335640767
LBS,2019-07-12,10.26534515356102,Cyanobacteria,5.585360244645459,16.427371164126146
LBS,2019-07-16,4.224391869582047,Cyanobacteria,2.401042488994411,6.6718969219685995
LBS,2019-07-18,22.169274875147,Bacillariophyta,12.613503794710018,37.84080875694361
LBS,2019-07-23,5.230104825009269,Cyanobacteria,3.037460588997817,8.568090399301651
LBS,2019-07-25,23.223762910897847,Bacillariophyta,13.59301263195936,39.36002281096192
LBS,2019-07-30,13.738630852728717,Bacillariophyta,7.665766107070561,24.108624312524494
LBS,2019-08-01,20.081685984693625,Bacillariophyta,11.216141914637776,35.43105891989686
LBS,2019-08-06,17.237484757505396,Bacillariophyta,9.621393427632169,30.285399373747655
LBS,2019-08-08,15.216726184345214,Bacillariophyta,8.538501027102434,26.576876668968378
LBS,2019-08-13,6.385911289122207,Bacillariophyta,3.550244850791451,11.173965928886954
LBS,2019-08-15,53.43162001129125,Bacillariophyta,29.719558710924126,94.6697731645185
LBS,2019-08-20,6.6527718342504185,Cyanobacteria,3.7238973906151824,10.952606893589282
LBS,2019-08-22,7.24131284865596,Bacillariophyta,4.095836871101043,12.67004506697237
LBS,2020-05-12,4.783719006018094,Cyanobacteria,2.7621125508135687,7.6534803639883835
LBS,2020-05-19,4.278778899228236,Bacillariophyta,2.527784364073142,7.009887523759292
LBS,2020-05-25,9.107003808164194,Cryptophyta,5.481146728443565,14.482366570678824
LBS,2020-05-26,2.2261386868315944,Cryptophyta,1.3000196343769765,3.6334505292454704
LBS,2020-05-27,19.77675239426502,Cyanobacteria,10.927525921578317,32.01177342228729
LBS,2020-05-29,44.18858406600762,Cyanobacteria,24.1292286562274,71.1434081996436
LBS,2020-06-01,24.51518101860548,Cyanobacteria,14.205682297436736,39.199472034128
LBS,2020-06-03,5.82225422262074,Cyanobacteria,3.404267118120183,9.25516703413668
LBS,2020-06-05,11.395851186335078,Cyanobacteria,6.680269108445556,18.126788790520973
LBS,2020-06-08,3.631731332483429,Cryptophyta,2.211459983642995,5.64900872948323
LBS,2020-06-10,5.796713485805032,Bacillariophyta,3.3572212732761493,9.609101186420505
LBS,2020-06-12,5.380075460987171,Cyanobacteria,3.0034076334927637,8.556419870344465
LBS,2020-06-15,3.2928811442154236,Cryptophyta,1.9875841016732116,5.191185591635442
LBS,2020-06-17,3.4444067780923713,Cryptophyta,2.036578654026672,5.623018186814341
LBS,2020-06-19,9.004937089430031,Cyanobacteria,5.18883461413821,14.462576856878593
LBS,2020-06-22,2.9689883492652256,Bacillariophyta,1.7111859784259624,4.975211508598884
LBS,2020-06-24,4.826958290938423,Bacillariophyta,2.8216388657378935,7.900202485982624
LBS,2020-06-26,5.502288221275352,Cyanobacteria,3.1356258391952294,9.087479490227123
LBS,2020-06-29,3.2489491218268665,Cryptophyta,1.9223441885286314,5.292553321227072
LBS,2020-07-01,10.911851660906095,Bacillariophyta,6.342021636068557,18.46550292315005
LBS,2020-07-02,5.166652597292896,Cryptophyta,3.0741798991523717,8.189684863226647
LBS,2020-07-06,5.683489050062897,Bacillariophyta,3.4031054981733813,9.486599637954187
LBS,2020-07-08,1.7537476519004511,Cyanobacteria,0.965875700013922,2.822744424762405
LBS,2020-07-10,9.895146092920955,Cyanobacteria,5.653706401564909,16.24757587704095
LBS,2020-07-13,7.111249388942344,Bacillariophyta,4.0928954165927856,11.763224147858265
LBS,2020-07-15,12.66278546192755,Cyanobacteria,7.107394061992432,20.85125455464991
LBS,2020-07-17,20.369832299551135,Cyanobacteria,11.452235418336281,33.399051343038984
LBS,2020-07-20,26.75422412541539,Cyanobacteria,14.966745030402425,43.79952520950608
LBS,2020-07-22,9.88924601227216,Cyanobacteria,5.707951258847677,16.081844195318492
LBS,2020-07-24,12.756453539697706,Bacillariophyta,7.1624210747356765,21.639754816522178
LBS,2020-07-27,7.284761458558401,Chrysophyta,4.2642539126621095,12.055698386936948
LBS,2020-07-29,18.638525430797568,Cyanobacteria,10.533395902053774,30.875026858630584
