$ 2013 pst,,,,,,,,,,,
"# Blowout used as estimate for TDS, Breitenbush for SED, Blowout for all others",,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,Nox,RDOM,RPOM,ALG-BG,ALG-OTH,DO
7.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.6170145
7.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.62115655
7.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.6587097
7.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.6587097
7.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66302858
7.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66302858
8,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66718134
8.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66718134
8.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66718134
8.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.62960632
8.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.62115655
8.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.61270677
8.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.60856472
8.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.61270677
8.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.6170145
8.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.62115655
8.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.58377394
8.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.57947731
8.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.53386899
8.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.53386899
8.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.49258256
8.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.48847237
8.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.48847237
8.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.4759774
8.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.4717028
8.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.50040837
8.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.49612276
8.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.52494295
8.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.52081154
8.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51651487
9,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.50808678
9.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.49552726
9.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.45854116
9.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.45013472
9.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.43332181
9.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.4082672
9.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.39573986
9.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.3832125
9.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.39145419
9.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.4082672
9.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.38818313
9.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.35998056
9.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.42508018
9.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.46198
9.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.49904796
9.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.50749788
9.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51180568
9.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51180568
9.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51180568
9.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51594779
9.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5200899
9.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.55322859
9.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5908462
9.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5908462
10,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.58651605
10.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5908462
10.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.55754753
10.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5660193
10.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.56170036
10.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.5660193
10.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.59933994
10.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.60766713
10.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.61199727
10.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.61616086
10.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.64967496
10.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.61616086
10.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.57864387
10.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.54113177
10.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.51238345
10.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.52081154
10.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.52494295
10.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.55803149
10.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.56217357
10.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.56217357
10.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.59542123
10.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.59542123
10.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.62881816
10.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.66236517
11,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.67088095
11.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70041578
11.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.73847301
11.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.74283706
11.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.77249766
11.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.77687312
11.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.78108029
11.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.82388606
11.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83670934
11.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.84531442
11.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.85391949
11.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.81961783
11.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.78547027
11.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.75147596
11.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.7556612
11.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.79822661
11.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.80242277
11.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.84099009
11.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.87956591
11.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.9530103
11.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.98785853
11.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.02729793
11.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.06247456
11.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.09781089
12,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.13760457
12.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.13760457
12.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.17775492
12.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.17775492
12.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20910662
12.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
12.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24960667
12.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24960667
12.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29012134
12.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29446419
12.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29446419
12.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29012134
12.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24960667
12.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
12.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
12.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
12.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
12.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.21359911
12.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24960667
12.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29446419
12.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.3308245
12.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.37189187
12.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.4129757
12.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.49149407
13,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.53314495
