$2013 B,reitenbu,"sh, pst",,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
10.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53115106
10.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52684386
10.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49813344
10.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49813344
10.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50639516
10.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54374133
10.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54788286
10.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54788286
10.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58109187
10.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.61028694
10.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.57262127
10.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54374133
10.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.55219005
10.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.55633157
10.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.55633157
10.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56047309
10.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52737989
10.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52737989
10.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52737989
10.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56047309
10.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52737989
11,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56892179
11.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56478027
11.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56892179
11.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6065036
11.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.60218527
11.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.63992762
11.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64409063
11.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68619028
11.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69887869
11.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74120682
11.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74974356
11.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74974356
11.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68222365
11.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68222365
11.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
11.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69487911
11.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.69904208
11.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.70337157
11.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74128452
