Date,Site ID (new),Chl RFU,Chl ug/L
2012-09-11,HT,0.0,0.0
2012-09-11,HT,0.2,0.9
2012-09-11,HT,0.2,0.9
2012-09-11,BO,0.2,1.0
2012-09-11,BO,0.1,0.6
2012-09-11,BO,0.2,1.0
2012-09-11,BB,0.3,1.3
2012-09-11,BB,0.4,1.5
2012-09-11,BB,0.3,1.5
2012-09-18,LB,0.3,1.1
2012-09-18,LB,0.3,1.1
2012-09-18,LB,0.4,1.6
2012-09-18,HT,0.1,0.5
2012-09-18,HT,0.2,0.8
2012-09-18,HT,0.3,1.2
2012-09-18,BO,0.1,0.5
2012-09-18,BO,0.1,0.5
2012-09-18,BO,0.2,0.7
2012-09-18,BO,0.4,1.6
2012-09-25,LB,0.1,0.5
2012-09-25,LB,0.3,1.2
2012-09-25,LB,0.3,1.1
2012-09-25,HT,0.1,0.5
2012-09-25,HT,0.3,1.4
2012-10-02,LB,0.0,0.1
2012-10-02,LB,0.1,0.5
2012-10-02,LB,0.1,0.5
2012-10-02,HT,0.0,0.0
2012-10-02,HT,0.0,0.2
2012-10-02,HT,0.1,0.4
2012-10-09,LB,0.5,2.1
2012-10-09,LB,0.3,1.4
2012-10-09,LB,0.3,1.1
2012-10-09,LB,0.4,1.7
2012-10-09,HT,0.1,0.5
2012-10-09,HT,0.3,1.4
2012-10-09,HT,0.2,0.9
2012-10-09,HT,0.3,1.2
2012-11-06,LB,0.4,1.4
2012-11-06,LB,0.5,1.6
2012-11-06,LB,0.3,1.2
2012-12-04,PK,0.2,0.9
2012-12-04,PK,0.4,1.5
2012-12-04,PK,0.3,1.4
2013-01-22,PK,0.0,0.1
2013-01-22,PK,0.1,0.2
2013-01-22,PK,0.1,0.4
2013-01-22,PK,0.0,0.2
2013-01-22,PK,0.1,0.2
2013-01-22,PK,0.0,0.1
2013-02-05,LB,0.4,1.7
2013-02-05,LB,0.2,0.7
2013-02-05,LB,0.3,1.3
2013-03-12,LB,0.1,0.4
2013-03-12,LB,0.0,0.0
2013-04-30,HT,0.0,0.1
2013-05-21,LB,0.1,0.5
2013-05-21,LB,0.2,0.6
2013-05-28,LB,0.3,1.1
2013-05-28,LB,0.4,1.6
2013-05-28,LB,0.4,1.5
2013-06-03,LB,0.3,1.4
2013-06-03,LB,0.3,1.3
2013-06-03,LB,0.3,1.2
2013-06-06,BO,0.6,2.7
2013-06-06,BO,0.5,2.2
2013-06-06,BO,0.5,2.1
2013-06-06,BB,0.3,1.1
2013-06-06,BB,0.1,0.3
2013-06-06,BB,0.4,1.7
2013-06-06,BB,0.3,1.3
2013-06-06,BB,0.3,1.1
2013-06-06,BB,0.5,2.3
2013-06-11,LB,0.2,1.0
2013-06-11,LB,0.3,1.3
2013-06-11,LB,0.3,1.5
2013-06-11,HT,0.4,1.7
2013-06-11,HT,0.5,2.0
2013-06-11,HT,0.2,1.0
2013-06-11,BO,0.7,2.9
2013-06-11,BO,0.3,1.1
2013-06-11,BO,0.3,1.3
2013-06-11,BO,0.4,1.8
2013-06-11,BB,0.3,1.3
2013-06-11,BB,0.4,1.5
2013-06-11,BB,0.4,1.8
2013-06-11,BB,0.3,1.3
2013-06-18,BO,0.1,0.5
2013-06-18,BO,0.1,0.3
2013-06-18,BO,0.0,0.0
2013-06-25,LB,0.1,0.2
2013-06-25,LB,0.1,0.5
2013-06-25,LB,0.2,0.6
2013-07-02,LB,0.2,0.9
2013-07-02,LB,0.2,0.6
2013-07-02,LB,0.1,0.5
2013-07-02,HT,0.3,1.3
2013-07-02,HT,0.1,0.5
2013-07-02,HT,0.1,0.3
2013-07-02,BO,0.2,0.6
2013-07-02,BO,0.2,0.9
2013-07-02,BO,0.1,0.5
2013-07-02,BB,0.3,1.4
2013-07-02,BB,0.0,0.0
2013-07-02,BB,0.1,0.3
2013-07-10,LB,0.3,1.3
2013-07-10,LB,0.1,0.3
2013-07-10,LB,0.0,0.1
2013-07-17,LB,0.2,0.8
2013-07-17,LB,0.2,0.6
2013-07-17,LB,0.2,0.5
2013-07-17,LB,0.1,0.3
2013-07-23,LB,0.0,0.1
2013-07-23,LB,0.0,0.1
2013-07-30,LB,0.0,0.2
2013-07-30,LB,0.0,0.1
2013-07-30,LB,0.2,0.9
2013-07-30,HT,0.0,0.2
2013-07-30,HT,0.1,0.2
2013-07-30,HT,0.1,0.5
2013-07-30,BO,0.1,0.4
2013-07-30,BO,0.1,0.6
2013-07-30,BO,0.1,0.2
2013-07-30,BB,0.0,0.1
2013-08-06,LB,0.2,1.0
2013-08-06,LB,0.1,0.6
2013-08-06,LB,0.2,0.7
2013-08-13,LB,0.1,0.3
2013-08-13,LB,0.1,0.2
2013-08-13,LB,0.1,0.5
2013-08-20,LB,0.1,0.4
2013-08-20,LB,0.1,0.5
2013-08-20,LB,0.1,0.3
2013-08-27,LB,0.2,0.8
2013-08-27,LB,0.1,0.4
2013-08-27,LB,0.2,1.0
2013-08-27,HT,0.1,0.3
2013-08-27,HT,0.1,0.6
2013-08-27,BO,0.2,0.9
2013-08-27,BO,0.1,0.5
2013-08-27,BO,0.2,0.9
2013-08-27,BB,0.4,1.9
2013-08-27,BB,0.6,2.7
2013-08-27,BB,0.1,0.4
2013-09-03,LB,0.3,1.3
2013-09-03,LB,0.2,0.7
2013-09-03,LB,0.2,0.9
2013-09-03,LB,0.4,1.7
2013-09-10,LB,0.1,0.3
2013-09-10,LB,0.3,1.0
2013-09-10,LB,0.2,0.6
2013-09-24,LB,0.4,1.8
2013-09-24,LB,0.4,1.7
2013-09-24,LB,0.3,1.4
2014-05-06,LB,0.07,0.32
2014-05-06,LB,0.12,0.49
2014-05-06,LB,0.07,0.29
2014-05-06,HT,0.19,0.78
2014-05-06,HT,0.17,0.71
2014-05-06,HT,0.15,0.62
2014-05-20,LB,0.07,0.26
2014-05-20,LB,0.05,0.16
2014-05-20,LB,0.04,0.13
2014-05-20,HT,0.01,0.02
2014-05-20,HT,0.07,0.27
2014-05-27,LB,0.2,0.77
2014-05-27,LB,0.32,1.25
2014-05-27,LB,0.28,1.08
2014-05-27,HT,0.36,1.4
2014-05-27,HT,0.4,1.57
2014-05-27,HT,0.44,1.73
2014-06-03,LB,0.26,1.04
2014-06-03,LB,0.33,1.3
2014-06-03,LB,0.34,1.37
2014-06-03,HT,0.65,2.58
2014-06-03,HT,0.56,2.25
2014-06-03,HT,0.6,2.41
2014-06-10,LB,0.15,0.61
2014-06-10,LB,0.2,0.82
2014-06-10,LB,0.18,0.72
2014-06-10,HT,0.16,0.65
2014-06-10,HT,0.1,0.38
2014-06-10,HT,0.18,0.7
2014-06-10,HT,0.2,0.79
2014-06-17,LB,0.52,2.12
2014-06-17,LB,0.67,2.72
2014-06-17,LB,0.71,2.87
2014-06-17,LB,0.9,3.61
2014-06-17,LB,0.03,0.16
2014-06-17,HT,0.76,3.08
2014-06-17,HT,0.76,3.09
2014-06-17,HT,0.76,3.07
2014-06-24,LB,0.09,0.41
2014-06-24,LB,0.32,1.33
2014-06-24,HT,0.04,0.23
2014-06-24,HT,0.06,0.31
2014-06-24,HT,0.09,0.41
2014-06-24,HT,0.15,0.64
