chl,date,sensor
37.945605285579276,2017-12-04,Terra
46.79826447326166,2017-12-05,Terra
39.753492848354014,2017-12-06,Terra
44.55875362034372,2017-12-07,Terra
44.5275155653325,2017-12-08,Terra
42.51431348555023,2017-12-10,Terra
43.935671715486805,2017-12-30,Terra
45.22295813520076,2018-01-02,Terra
63.827727765684934,2018-01-06,Terra
44.05232567395604,2018-01-13,Terra
49.41719004788535,2018-01-20,Terra
31.154313100743742,2018-01-30,Terra
45.301807744258106,2018-02-02,Terra
22.126484583579433,2018-02-05,Terra
47.31801716373599,2018-02-06,Terra
46.88444783658937,2018-02-07,Terra
47.83188381706096,2018-02-10,Terra
45.08661063839107,2018-02-12,Terra
26.15503251289509,2018-02-13,Terra
51.391779108697065,2018-02-14,Terra
44.37394525152206,2018-02-15,Terra
46.85046782908082,2018-02-18,Terra
43.15885774108067,2018-02-23,Terra
44.89104423708214,2018-02-26,Terra
41.55750633356581,2018-03-03,Terra
45.290133651467954,2018-03-11,Terra
40.0936548624242,2018-03-19,Terra
41.37445295807927,2018-03-21,Terra
39.60031189625121,2018-03-27,Terra
40.150047702305635,2018-03-28,Terra
39.864709682149105,2018-03-31,Terra
41.250228923979535,2018-04-01,Terra
36.617679782774616,2018-04-02,Terra
40.3874846932468,2018-04-08,Terra
40.96243795965149,2018-04-09,Terra
41.10471860244709,2018-04-17,Terra
38.34246447907505,2018-04-20,Terra
43.096541830273374,2018-04-21,Terra
34.673685045253166,2018-04-22,Terra
41.23185038676678,2018-04-23,Terra
34.921197543540714,2018-04-24,Terra
41.007690530364165,2018-04-25,Terra
40.4423977555904,2018-04-29,Terra
44.689608868669296,2018-04-30,Terra
42.52242449123242,2018-05-01,Terra
36.48672361960506,2018-05-02,Terra
38.25681484901272,2018-05-03,Terra
43.57857197126513,2018-05-06,Terra
51.302988665495704,2018-05-07,Terra
42.10437233976265,2018-05-08,Terra
50.98573378909606,2018-05-11,Terra
45.8857494573873,2018-05-12,Terra
45.55872977937131,2018-05-13,Terra
61.1102511680216,2018-05-14,Terra
59.755775075517924,2018-05-15,Terra
39.54059325595463,2018-05-17,Terra
52.38185790095823,2018-05-18,Terra
53.85269479642652,2018-05-19,Terra
57.629533887396114,2018-05-21,Terra
52.34801076457564,2018-05-22,Terra
64.50059990457804,2018-05-23,Terra
58.747254576956145,2018-05-24,Terra
47.17400874933213,2018-05-26,Terra
45.903534023222726,2018-05-27,Terra
63.63123883702258,2018-05-28,Terra
56.07016340849624,2018-05-30,Terra
72.4974097532928,2018-06-01,Terra
67.16062968305131,2018-06-02,Terra
59.72081514581547,2018-06-04,Terra
57.87197749101136,2018-06-05,Terra
45.21614826317673,2018-06-07,Terra
70.6832962823997,2018-06-08,Terra
51.43193539375163,2018-06-09,Terra
83.55421931780727,2018-06-11,Terra
76.23458355427748,2018-06-12,Terra
76.38356428423423,2018-06-13,Terra
93.3218182377087,2018-06-15,Terra
142.55525749130285,2018-06-19,Terra
142.91835546154198,2018-06-20,Terra
76.56616903014609,2018-06-21,Terra
77.46617481941065,2018-06-24,Terra
81.65615429499935,2018-06-25,Terra
110.1135510466872,2018-06-26,Terra
94.32222360913613,2018-06-27,Terra
126.47858107165388,2018-06-28,Terra
127.22226574751986,2018-06-29,Terra
90.34643066158489,2018-06-30,Terra
126.38729375481552,2018-07-01,Terra
108.7176838689822,2018-07-02,Terra
120.86026769173009,2018-07-03,Terra
84.66864185346272,2018-07-04,Terra
81.09326257090153,2018-07-05,Terra
143.32820340335795,2018-07-07,Terra
93.71788516017412,2018-07-08,Terra
101.39413498484528,2018-07-09,Terra
105.07509909775415,2018-07-10,Terra
101.6229497573251,2018-07-11,Terra
91.06321240161655,2018-07-12,Terra
69.82630949954903,2018-07-14,Terra
78.51579209950407,2018-07-16,Terra
88.74866823260508,2018-07-17,Terra
56.545214026372115,2018-07-18,Terra
93.3164652931649,2018-07-19,Terra
59.367948973443504,2018-07-20,Terra
67.79999922207203,2018-07-21,Terra
72.39746269125942,2018-07-22,Terra
641.1491056237608,2018-07-26,Terra
74.9647680873474,2018-07-27,Terra
59.30650332153143,2018-07-28,Terra
46.911788813106725,2018-08-02,Terra
71.28295466425982,2018-08-11,Terra
62.67016454969378,2018-08-12,Terra
1.8169499598495227,2018-08-18,Terra
8011.829375171887,2018-08-20,Terra
110.39809915567805,2018-08-27,Terra
68.31464368872966,2018-08-28,Terra
119.79521270545266,2018-08-31,Terra
77.52264915080566,2018-09-01,Terra
72.97984689735655,2018-09-02,Terra
88.67853890410933,2018-09-03,Terra
79.05014692394977,2018-09-05,Terra
97.74511021891404,2018-09-08,Terra
193.13595639427894,2018-09-09,Terra
101.91582494281768,2018-09-10,Terra
