system:index,chl,date,sensor,.geo
2012_07_25_0,95.80395274342263,2012-07-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_26_0,105.26416181508662,2012-07-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_28_0,106.00537144260701,2012-07-28,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_29_0,63.15523642834508,2012-07-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_30_0,104.2396095937579,2012-07-30,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_31_0,129.07631946844995,2012-07-31,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_01_0,98.53420608698619,2012-08-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_02_0,104.00312826120461,2012-08-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_03_0,118.99109010078708,2012-08-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_04_0,133.17704040874364,2012-08-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_06_0,115.81268895973477,2012-08-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_08_0,106.93248915899723,2012-08-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_10_0,92.075917381805,2012-08-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_11_0,116.06571932317634,2012-08-11,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_12_0,87.62015951658287,2012-08-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_13_0,98.88462780237779,2012-08-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_14_0,90.65077790680111,2012-08-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_16_0,87.72116942428708,2012-08-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_17_0,81.66453755463839,2012-08-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_19_0,112.65513507403294,2012-08-19,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_21_0,91.73548252631309,2012-08-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_22_0,104.62751427939635,2012-08-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_23_0,68.14656583307486,2012-08-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_24_0,84.83208120057503,2012-08-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_25_0,86.01815093085679,2012-08-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_26_0,74.14834280848369,2012-08-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_27_0,117.94181967224091,2012-08-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_29_0,166.60623145328748,2012-08-29,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_30_0,149.76872199908433,2012-08-30,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_31_0,104.03402828780332,2012-08-31,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_01_0,85.61935809900574,2012-09-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_02_0,90.78552744022312,2012-09-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_03_0,187.63696473515145,2012-09-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_04_0,110.66748119181933,2012-09-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_05_0,133.44667766017932,2012-09-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_06_0,99.80761513581615,2012-09-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_07_0,106.87879833863296,2012-09-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_08_0,66.97406662607693,2012-09-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_11_0,88.7881260110028,2012-09-11,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_12_0,122.7717075596191,2012-09-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_14_0,111.95194681738212,2012-09-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_16_0,69.88123755808569,2012-09-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_17_0,103.89321230753451,2012-09-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_19_0,104.08909588402004,2012-09-19,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_20_0,75.18230193510857,2012-09-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_22_0,114.37041790633376,2012-09-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_24_0,110.32958273101208,2012-09-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
