system:index,date,ndci,.geo
LC08_045029_20250611,2025-06-11,0.08468495403243893,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250627,2025-06-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250713,2025-07-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130320,2013-03-20,0.062496471893024395,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130414,2013-04-14,-0.010468355782743443,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130430,2013-04-30,0.036221553127427086,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130601,2013-06-01,0.11396151948692654,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130617,2013-06-17,0.19092414706856586,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130703,2013-07-03,0.14319854097226634,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130719,2013-07-19,0.08790043136977624,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130804,2013-08-04,0.0837063563115489,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130820,2013-08-20,0.04215964005999053,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_046029_20130921,2013-09-21,0.18354019830692334,"{""type"":""MultiPoint"",""coordinates"":[]}"
