system:index,date,.geo
LC08_045031_20131101,2013-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20131117,2013-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20131203,2013-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20131219,2013-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140104,2014-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140120,2014-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140205,2014-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140221,2014-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140410,2014-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140426,2014-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140512,2014-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140528,2014-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140613,2014-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140629,2014-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140715,2014-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140731,2014-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140816,2014-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140901,2014-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20140917,2014-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20141003,2014-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20141019,2014-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20141104,2014-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20141206,2014-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20141222,2014-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150107,2015-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150123,2015-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150224,2015-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
